ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster,2002-2008,2008-2012,2012-2014,2014-2016,2016-2018,2018-2020,2020-2022
WK189402,4.145695804,4.111965266,4.151990361,4.138346502,4.12548368,4.142837245,4.135734455,4.137950696,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK189403,4.063355248,4.095917175,4.120324909,4.127469006,4.148193564,4.140043361,4.165982452,4.148125183,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK189404,4.108740631,4.113492064,4.144243675,4.146346271,4.155036345,4.16552998,4.172856145,4.158540933,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK189405,4.118891596,4.136474392,4.164786241,4.138065186,4.117483756,4.152877121,4.161130275,4.195163939,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK189500,4.007926438,3.995182765,4.035650891,4.022252715,4.08187174,4.07560123,4.065555048,4.099634918,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK189501,4.059046898,4.006808911,4.052089439,4.117234229,4.132496188,4.120368271,4.15125702,4.094294397,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK189502,4.090262463,4.046393678,4.042799784,4.099793518,4.120576267,4.112706018,4.063906704,4.035485003,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK189503,4.050820052,3.991376159,4.011978956,4.053788327,4.070539754,4.08381529,4.065691884,4.050255535,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK189504,4.053486439,4.063511674,4.087915275,4.075269592,4.044907155,4.166790355,4.149068318,4.024685482,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK189505,4.014953464,3.963812485,3.935849943,3.975864894,4.025333617,3.972113813,3.985298058,3.992353356,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK189506,4.090306935,4.094445363,4.112694266,4.146152802,4.159594091,4.16171391,4.181514065,4.130626849,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK189507,4.166986197,4.166623002,4.160738629,4.179338584,4.1905065,4.20691755,4.201973936,4.13206902,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
